"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"São Mateus";"2014";"11078";"9758";"10954";"12615";"12513";"13783";"13719";"12284";"11268";"10479";"9505";"8164";"6345";"4747";"3354";"4363";
"São Mateus";"2018";"10766";"10321";"9610";"11177";"12532";"12633";"13366";"12849";"11520";"10581";"9753";"8698";"7202";"5448";"3880";"4853";
"São Miguel";"2014";"7220";"5539";"6202";"7331";"7372";"8015";"7487";"6745";"6375";"6212";"5610";"4737";"3595";"2765";"2158";"3151";
"São Miguel";"2018";"7147";"6407";"5353";"6281";"7203";"7326";"7541";"6894";"6229";"5932";"5661";"5009";"4057";"3016";"2253";"3243";
"São Rafael";"2014";"11105";"11325";"12962";"14118";"13282";"13088";"12878";"12272";"11380";"10083";"8206";"6385";"4881";"3572";"2389";"2489";
"São Rafael";"2018";"11049";"11065";"11669";"13518";"14236";"13269";"12905";"12639";"11968";"10988";"9510";"7580";"5795";"4306";"2998";"3121";
"Sapopemba";"2014";"20564";"18718";"20808";"23507";"23934";"26122";"25357";"22657";"20452";"19046";"17412";"14953";"11694";"8566";"5809";"7175";
"Sapopemba";"2018";"20016";"19366";"18485";"21174";"23597";"24257";"25260";"23837";"21230";"19258";"17827";"15988";"13271";"10055";"6978";"8202";
"Saúde";"2014";"6597";"5590";"5469";"6014";"7273";"10305";"12700";"12010";"10057";"9539";"9586";"9371";"7974";"6269";"4827";"9038";
"Saúde";"2018";"6384";"6372";"5588";"5707";"6416";"7942";"10836";"12646";"11519";"9902";"9501";"9489";"8905";"7327";"5596";"9605";
"Sé";"2014";"2089";"1219";"1452";"1613";"1899";"2664";"2703";"2503";"2300";"1758";"1344";"1092";"781";"587";"433";"567";
